date,KQ.m@CFFEX.IC
2015-08-21,CFFEX.IC1509
2015-08-24,CFFEX.IC1509
2015-08-25,CFFEX.IC1509
2015-08-26,CFFEX.IC1509
2015-08-27,CFFEX.IC1509
2015-08-28,CFFEX.IC1509
2015-08-31,CFFEX.IC1509
2015-09-01,CFFEX.IC1509
2015-09-02,CFFEX.IC1509
2015-09-07,CFFEX.IC1509
2015-09-08,CFFEX.IC1509
2015-09-09,CFFEX.IC1509
2015-09-10,CFFEX.IC1509
2015-09-11,CFFEX.IC1509
2015-09-14,CFFEX.IC1509
2015-09-15,CFFEX.IC1509
2015-09-16,CFFEX.IC1509
2015-09-17,CFFEX.IC1509
2015-09-18,CFFEX.IC1510
2015-09-21,CFFEX.IC1510
2015-09-22,CFFEX.IC1510
2015-09-23,CFFEX.IC1510
2015-09-24,CFFEX.IC1510
2015-09-25,CFFEX.IC1510
2015-09-28,CFFEX.IC1510
2015-09-29,CFFEX.IC1510
2015-09-30,CFFEX.IC1510
2015-10-08,CFFEX.IC1510
2015-10-09,CFFEX.IC1510
2015-10-12,CFFEX.IC1510
2015-10-13,CFFEX.IC1510
2015-10-14,CFFEX.IC1510
2015-10-15,CFFEX.IC1510
2015-10-16,CFFEX.IC1511
2015-10-19,CFFEX.IC1511
2015-10-20,CFFEX.IC1511
2015-10-21,CFFEX.IC1511
2015-10-22,CFFEX.IC1511
2015-10-23,CFFEX.IC1511
2015-10-26,CFFEX.IC1511
2015-10-27,CFFEX.IC1511
2015-10-28,CFFEX.IC1511
2015-10-29,CFFEX.IC1511
2015-10-30,CFFEX.IC1511
2015-11-02,CFFEX.IC1511
2015-11-03,CFFEX.IC1511
2015-11-04,CFFEX.IC1511
2015-11-05,CFFEX.IC1511
2015-11-06,CFFEX.IC1511
2015-11-09,CFFEX.IC1511
2015-11-10,CFFEX.IC1511
2015-11-11,CFFEX.IC1511
2015-11-12,CFFEX.IC1511
2015-11-13,CFFEX.IC1511
2015-11-16,CFFEX.IC1511
2015-11-17,CFFEX.IC1511
2015-11-18,CFFEX.IC1511
2015-11-19,CFFEX.IC1511
2015-11-20,CFFEX.IC1512
2015-11-23,CFFEX.IC1512
2015-11-24,CFFEX.IC1512
2015-11-25,CFFEX.IC1512
2015-11-26,CFFEX.IC1512
2015-11-27,CFFEX.IC1512
2015-11-30,CFFEX.IC1512
2015-12-01,CFFEX.IC1512
2015-12-02,CFFEX.IC1512
2015-12-03,CFFEX.IC1512
2015-12-04,CFFEX.IC1512
2015-12-07,CFFEX.IC1512
2015-12-08,CFFEX.IC1512
2015-12-09,CFFEX.IC1512
2015-12-10,CFFEX.IC1512
2015-12-11,CFFEX.IC1512
2015-12-14,CFFEX.IC1512
2015-12-15,CFFEX.IC1512
2015-12-16,CFFEX.IC1512
2015-12-17,CFFEX.IC1512
2015-12-18,CFFEX.IC1601
2015-12-21,CFFEX.IC1601
2015-12-22,CFFEX.IC1601
2015-12-23,CFFEX.IC1601
2015-12-24,CFFEX.IC1601
2015-12-25,CFFEX.IC1601
2015-12-28,CFFEX.IC1601
2015-12-29,CFFEX.IC1601
2015-12-30,CFFEX.IC1601
2015-12-31,CFFEX.IC1601
2016-01-04,CFFEX.IC1601
2016-01-05,CFFEX.IC1601
2016-01-06,CFFEX.IC1601
2016-01-07,CFFEX.IC1601
2016-01-08,CFFEX.IC1601
2016-01-11,CFFEX.IC1601
2016-01-12,CFFEX.IC1601
2016-01-13,CFFEX.IC1601
2016-01-14,CFFEX.IC1601
2016-01-15,CFFEX.IC1601
2016-01-18,CFFEX.IC1602
2016-01-19,CFFEX.IC1602
2016-01-20,CFFEX.IC1602
2016-01-21,CFFEX.IC1602
2016-01-22,CFFEX.IC1602
2016-01-25,CFFEX.IC1602
2016-01-26,CFFEX.IC1602
2016-01-27,CFFEX.IC1602
2016-01-28,CFFEX.IC1602
2016-01-29,CFFEX.IC1602
2016-02-01,CFFEX.IC1602
2016-02-02,CFFEX.IC1602
2016-02-03,CFFEX.IC1602
2016-02-04,CFFEX.IC1602
2016-02-05,CFFEX.IC1602
2016-02-15,CFFEX.IC1602
2016-02-16,CFFEX.IC1602
2016-02-17,CFFEX.IC1602
2016-02-18,CFFEX.IC1602
2016-02-19,CFFEX.IC1603
2016-02-22,CFFEX.IC1603
2016-02-23,CFFEX.IC1603
2016-02-24,CFFEX.IC1603
2016-02-25,CFFEX.IC1603
2016-02-26,CFFEX.IC1603
2016-02-29,CFFEX.IC1603
2016-03-01,CFFEX.IC1603
2016-03-02,CFFEX.IC1603
2016-03-03,CFFEX.IC1603
2016-03-04,CFFEX.IC1603
2016-03-07,CFFEX.IC1603
2016-03-08,CFFEX.IC1603
2016-03-09,CFFEX.IC1603
2016-03-10,CFFEX.IC1603
2016-03-11,CFFEX.IC1603
2016-03-14,CFFEX.IC1603
2016-03-15,CFFEX.IC1603
2016-03-16,CFFEX.IC1603
2016-03-17,CFFEX.IC1603
2016-03-18,CFFEX.IC1604
2016-03-21,CFFEX.IC1604
2016-03-22,CFFEX.IC1604
2016-03-23,CFFEX.IC1604
2016-03-24,CFFEX.IC1604
2016-03-25,CFFEX.IC1604
2016-03-28,CFFEX.IC1604
2016-03-29,CFFEX.IC1604
2016-03-30,CFFEX.IC1604
2016-03-31,CFFEX.IC1604
2016-04-01,CFFEX.IC1604
2016-04-05,CFFEX.IC1604
2016-04-06,CFFEX.IC1604
2016-04-07,CFFEX.IC1604
2016-04-08,CFFEX.IC1604
2016-04-11,CFFEX.IC1604
2016-04-12,CFFEX.IC1604
2016-04-13,CFFEX.IC1604
2016-04-14,CFFEX.IC1604
2016-04-15,CFFEX.IC1605
2016-04-18,CFFEX.IC1605
2016-04-19,CFFEX.IC1605
2016-04-20,CFFEX.IC1605
2016-04-21,CFFEX.IC1605
2016-04-22,CFFEX.IC1605
2016-04-25,CFFEX.IC1605
2016-04-26,CFFEX.IC1605
2016-04-27,CFFEX.IC1605
2016-04-28,CFFEX.IC1605
2016-04-29,CFFEX.IC1605
2016-05-03,CFFEX.IC1605
2016-05-04,CFFEX.IC1605
2016-05-05,CFFEX.IC1605
2016-05-06,CFFEX.IC1605
2016-05-09,CFFEX.IC1605
2016-05-10,CFFEX.IC1605
2016-05-11,CFFEX.IC1605
2016-05-12,CFFEX.IC1605
2016-05-13,CFFEX.IC1605
2016-05-16,CFFEX.IC1605
2016-05-17,CFFEX.IC1605
2016-05-18,CFFEX.IC1605
2016-05-19,CFFEX.IC1605
2016-05-20,CFFEX.IC1606
2016-05-23,CFFEX.IC1606
2016-05-24,CFFEX.IC1606
2016-05-25,CFFEX.IC1606
2016-05-26,CFFEX.IC1606
2016-05-27,CFFEX.IC1606
2016-05-30,CFFEX.IC1606
2016-05-31,CFFEX.IC1606
2016-06-01,CFFEX.IC1606
2016-06-02,CFFEX.IC1606
2016-06-03,CFFEX.IC1606
2016-06-06,CFFEX.IC1606
2016-06-07,CFFEX.IC1606
2016-06-08,CFFEX.IC1606
2016-06-13,CFFEX.IC1606
2016-06-14,CFFEX.IC1606
2016-06-15,CFFEX.IC1606
2016-06-16,CFFEX.IC1606
2016-06-17,CFFEX.IC1607
2016-06-20,CFFEX.IC1607
2016-06-21,CFFEX.IC1607
2016-06-22,CFFEX.IC1607
2016-06-23,CFFEX.IC1607
2016-06-24,CFFEX.IC1607
2016-06-27,CFFEX.IC1607
2016-06-28,CFFEX.IC1607
2016-06-29,CFFEX.IC1607
2016-06-30,CFFEX.IC1607
2016-07-01,CFFEX.IC1607
2016-07-04,CFFEX.IC1607
2016-07-05,CFFEX.IC1607
2016-07-06,CFFEX.IC1607
2016-07-07,CFFEX.IC1607
2016-07-08,CFFEX.IC1607
2016-07-11,CFFEX.IC1607
2016-07-12,CFFEX.IC1607
2016-07-13,CFFEX.IC1607
2016-07-14,CFFEX.IC1607
2016-07-15,CFFEX.IC1607
2016-07-18,CFFEX.IC1608
2016-07-19,CFFEX.IC1608
2016-07-20,CFFEX.IC1608
2016-07-21,CFFEX.IC1608
2016-07-22,CFFEX.IC1608
2016-07-25,CFFEX.IC1608
2016-07-26,CFFEX.IC1608
2016-07-27,CFFEX.IC1608
2016-07-28,CFFEX.IC1608
2016-07-29,CFFEX.IC1608
2016-08-01,CFFEX.IC1608
2016-08-02,CFFEX.IC1608
2016-08-03,CFFEX.IC1608
2016-08-04,CFFEX.IC1608
2016-08-05,CFFEX.IC1608
2016-08-08,CFFEX.IC1608
2016-08-09,CFFEX.IC1608
2016-08-10,CFFEX.IC1608
2016-08-11,CFFEX.IC1608
2016-08-12,CFFEX.IC1608
2016-08-15,CFFEX.IC1608
2016-08-16,CFFEX.IC1608
2016-08-17,CFFEX.IC1608
2016-08-18,CFFEX.IC1608
2016-08-19,CFFEX.IC1609
2016-08-22,CFFEX.IC1609
2016-08-23,CFFEX.IC1609
2016-08-24,CFFEX.IC1609
2016-08-25,CFFEX.IC1609
2016-08-26,CFFEX.IC1609
2016-08-29,CFFEX.IC1609
2016-08-30,CFFEX.IC1609
2016-08-31,CFFEX.IC1609
2016-09-01,CFFEX.IC1609
2016-09-02,CFFEX.IC1609
2016-09-05,CFFEX.IC1609
2016-09-06,CFFEX.IC1609
2016-09-07,CFFEX.IC1609
2016-09-08,CFFEX.IC1609
2016-09-09,CFFEX.IC1609
2016-09-12,CFFEX.IC1609
2016-09-13,CFFEX.IC1609
2016-09-14,CFFEX.IC1609
2016-09-19,CFFEX.IC1610
2016-09-20,CFFEX.IC1610
2016-09-21,CFFEX.IC1610
2016-09-22,CFFEX.IC1610
2016-09-23,CFFEX.IC1610
2016-09-26,CFFEX.IC1610
2016-09-27,CFFEX.IC1610
2016-09-28,CFFEX.IC1610
2016-09-29,CFFEX.IC1610
2016-09-30,CFFEX.IC1610
2016-10-10,CFFEX.IC1610
2016-10-11,CFFEX.IC1610
2016-10-12,CFFEX.IC1610
2016-10-13,CFFEX.IC1610
2016-10-14,CFFEX.IC1610
2016-10-17,CFFEX.IC1610
2016-10-18,CFFEX.IC1610
2016-10-19,CFFEX.IC1610
2016-10-20,CFFEX.IC1610
2016-10-21,CFFEX.IC1611
2016-10-24,CFFEX.IC1611
2016-10-25,CFFEX.IC1611
2016-10-26,CFFEX.IC1611
2016-10-27,CFFEX.IC1611
2016-10-28,CFFEX.IC1611
2016-10-31,CFFEX.IC1611
2016-11-01,CFFEX.IC1611
2016-11-02,CFFEX.IC1611
2016-11-03,CFFEX.IC1611
2016-11-04,CFFEX.IC1611
2016-11-07,CFFEX.IC1611
2016-11-08,CFFEX.IC1611
2016-11-09,CFFEX.IC1611
2016-11-10,CFFEX.IC1611
2016-11-11,CFFEX.IC1611
2016-11-14,CFFEX.IC1611
2016-11-15,CFFEX.IC1611
2016-11-16,CFFEX.IC1611
2016-11-17,CFFEX.IC1611
2016-11-18,CFFEX.IC1612
2016-11-21,CFFEX.IC1612
2016-11-22,CFFEX.IC1612
2016-11-23,CFFEX.IC1612
2016-11-24,CFFEX.IC1612
2016-11-25,CFFEX.IC1612
2016-11-28,CFFEX.IC1612
2016-11-29,CFFEX.IC1612
2016-11-30,CFFEX.IC1612
2016-12-01,CFFEX.IC1612
2016-12-02,CFFEX.IC1612
2016-12-05,CFFEX.IC1612
2016-12-06,CFFEX.IC1612
2016-12-07,CFFEX.IC1612
2016-12-08,CFFEX.IC1612
2016-12-09,CFFEX.IC1612
2016-12-12,CFFEX.IC1612
2016-12-13,CFFEX.IC1612
2016-12-14,CFFEX.IC1612
2016-12-15,CFFEX.IC1612
2016-12-16,CFFEX.IC1701
2016-12-19,CFFEX.IC1701
2016-12-20,CFFEX.IC1701
2016-12-21,CFFEX.IC1701
2016-12-22,CFFEX.IC1701
2016-12-23,CFFEX.IC1701
2016-12-26,CFFEX.IC1701
2016-12-27,CFFEX.IC1701
2016-12-28,CFFEX.IC1701
2016-12-29,CFFEX.IC1701
2016-12-30,CFFEX.IC1701
2017-01-03,CFFEX.IC1701
2017-01-04,CFFEX.IC1701
2017-01-05,CFFEX.IC1701
2017-01-06,CFFEX.IC1701
2017-01-09,CFFEX.IC1701
2017-01-10,CFFEX.IC1701
2017-01-11,CFFEX.IC1701
2017-01-12,CFFEX.IC1701
2017-01-13,CFFEX.IC1701
2017-01-16,CFFEX.IC1701
2017-01-17,CFFEX.IC1701
2017-01-18,CFFEX.IC1701
2017-01-19,CFFEX.IC1701
2017-01-20,CFFEX.IC1702
2017-01-23,CFFEX.IC1702
2017-01-24,CFFEX.IC1702
2017-01-25,CFFEX.IC1702
2017-01-26,CFFEX.IC1702
2017-02-03,CFFEX.IC1702
2017-02-06,CFFEX.IC1702
2017-02-07,CFFEX.IC1702
2017-02-08,CFFEX.IC1702
2017-02-09,CFFEX.IC1702
2017-02-10,CFFEX.IC1702
2017-02-13,CFFEX.IC1702
2017-02-14,CFFEX.IC1702
2017-02-15,CFFEX.IC1702
2017-02-16,CFFEX.IC1702
2017-02-17,CFFEX.IC1703
2017-02-20,CFFEX.IC1703
2017-02-21,CFFEX.IC1703
2017-02-22,CFFEX.IC1703
2017-02-23,CFFEX.IC1703
2017-02-24,CFFEX.IC1703
2017-02-27,CFFEX.IC1703
2017-02-28,CFFEX.IC1703
2017-03-01,CFFEX.IC1703
2017-03-02,CFFEX.IC1703
2017-03-03,CFFEX.IC1703
2017-03-06,CFFEX.IC1703
2017-03-07,CFFEX.IC1703
2017-03-08,CFFEX.IC1703
2017-03-09,CFFEX.IC1703
2017-03-10,CFFEX.IC1703
2017-03-13,CFFEX.IC1703
2017-03-14,CFFEX.IC1703
2017-03-15,CFFEX.IC1703
2017-03-16,CFFEX.IC1703
2017-03-17,CFFEX.IC1704
2017-03-20,CFFEX.IC1704
2017-03-21,CFFEX.IC1704
2017-03-22,CFFEX.IC1704
2017-03-23,CFFEX.IC1704
2017-03-24,CFFEX.IC1704
2017-03-27,CFFEX.IC1704
2017-03-28,CFFEX.IC1704
2017-03-29,CFFEX.IC1704
2017-03-30,CFFEX.IC1704
2017-03-31,CFFEX.IC1704
2017-04-05,CFFEX.IC1704
2017-04-06,CFFEX.IC1704
2017-04-07,CFFEX.IC1704
2017-04-10,CFFEX.IC1704
2017-04-11,CFFEX.IC1704
2017-04-12,CFFEX.IC1704
2017-04-13,CFFEX.IC1704
2017-04-14,CFFEX.IC1704
2017-04-17,CFFEX.IC1704
2017-04-18,CFFEX.IC1704
2017-04-19,CFFEX.IC1704
2017-04-20,CFFEX.IC1704
2017-04-21,CFFEX.IC1705
2017-04-24,CFFEX.IC1705
2017-04-25,CFFEX.IC1705
2017-04-26,CFFEX.IC1705
2017-04-27,CFFEX.IC1705
2017-04-28,CFFEX.IC1705
2017-05-02,CFFEX.IC1705
2017-05-03,CFFEX.IC1705
2017-05-04,CFFEX.IC1705
2017-05-05,CFFEX.IC1705
2017-05-08,CFFEX.IC1705
2017-05-09,CFFEX.IC1705
2017-05-10,CFFEX.IC1705
2017-05-11,CFFEX.IC1705
2017-05-12,CFFEX.IC1705
2017-05-15,CFFEX.IC1705
2017-05-16,CFFEX.IC1705
2017-05-17,CFFEX.IC1705
2017-05-18,CFFEX.IC1705
2017-05-19,CFFEX.IC1706
2017-05-22,CFFEX.IC1706
2017-05-23,CFFEX.IC1706
2017-05-24,CFFEX.IC1706
2017-05-25,CFFEX.IC1706
2017-05-26,CFFEX.IC1706
2017-05-31,CFFEX.IC1706
2017-06-01,CFFEX.IC1706
2017-06-02,CFFEX.IC1706
2017-06-05,CFFEX.IC1706
2017-06-06,CFFEX.IC1706
2017-06-07,CFFEX.IC1706
2017-06-08,CFFEX.IC1706
2017-06-09,CFFEX.IC1706
2017-06-12,CFFEX.IC1706
2017-06-13,CFFEX.IC1706
2017-06-14,CFFEX.IC1706
2017-06-15,CFFEX.IC1706
2017-06-16,CFFEX.IC1707
2017-06-19,CFFEX.IC1707
2017-06-20,CFFEX.IC1707
2017-06-21,CFFEX.IC1707
2017-06-22,CFFEX.IC1707
2017-06-23,CFFEX.IC1707
2017-06-26,CFFEX.IC1707
2017-06-27,CFFEX.IC1707
2017-06-28,CFFEX.IC1707
2017-06-29,CFFEX.IC1707
2017-06-30,CFFEX.IC1707
2017-07-03,CFFEX.IC1707
2017-07-04,CFFEX.IC1707
2017-07-05,CFFEX.IC1707
2017-07-06,CFFEX.IC1707
2017-07-07,CFFEX.IC1707
2017-07-10,CFFEX.IC1707
2017-07-11,CFFEX.IC1707
2017-07-12,CFFEX.IC1707
2017-07-13,CFFEX.IC1707
2017-07-14,CFFEX.IC1707
2017-07-17,CFFEX.IC1707
2017-07-18,CFFEX.IC1707
2017-07-19,CFFEX.IC1707
2017-07-20,CFFEX.IC1707
2017-07-21,CFFEX.IC1708
2017-07-24,CFFEX.IC1708
2017-07-25,CFFEX.IC1708
2017-07-26,CFFEX.IC1708
2017-07-27,CFFEX.IC1708
2017-07-28,CFFEX.IC1708
2017-07-31,CFFEX.IC1708
2017-08-01,CFFEX.IC1708
2017-08-02,CFFEX.IC1708
2017-08-03,CFFEX.IC1708
2017-08-04,CFFEX.IC1708
2017-08-07,CFFEX.IC1708
2017-08-08,CFFEX.IC1708
2017-08-09,CFFEX.IC1708
2017-08-10,CFFEX.IC1708
2017-08-11,CFFEX.IC1708
2017-08-14,CFFEX.IC1708
2017-08-15,CFFEX.IC1708
2017-08-16,CFFEX.IC1708
2017-08-17,CFFEX.IC1708
2017-08-18,CFFEX.IC1709
2017-08-21,CFFEX.IC1709
2017-08-22,CFFEX.IC1709
2017-08-23,CFFEX.IC1709
2017-08-24,CFFEX.IC1709
2017-08-25,CFFEX.IC1709
2017-08-28,CFFEX.IC1709
2017-08-29,CFFEX.IC1709
2017-08-30,CFFEX.IC1709
2017-08-31,CFFEX.IC1709
2017-09-01,CFFEX.IC1709
2017-09-04,CFFEX.IC1709
2017-09-05,CFFEX.IC1709
2017-09-06,CFFEX.IC1709
2017-09-07,CFFEX.IC1709
2017-09-08,CFFEX.IC1709
2017-09-11,CFFEX.IC1709
2017-09-12,CFFEX.IC1709
2017-09-13,CFFEX.IC1709
2017-09-14,CFFEX.IC1709
2017-09-15,CFFEX.IC1709
2017-09-18,CFFEX.IC1710
2017-09-19,CFFEX.IC1710
2017-09-20,CFFEX.IC1710
2017-09-21,CFFEX.IC1710
2017-09-22,CFFEX.IC1710
2017-09-25,CFFEX.IC1710
2017-09-26,CFFEX.IC1710
2017-09-27,CFFEX.IC1710
2017-09-28,CFFEX.IC1710
2017-09-29,CFFEX.IC1710
2017-10-09,CFFEX.IC1710
2017-10-10,CFFEX.IC1710
2017-10-11,CFFEX.IC1710
2017-10-12,CFFEX.IC1710
2017-10-13,CFFEX.IC1710
2017-10-16,CFFEX.IC1710
2017-10-17,CFFEX.IC1710
2017-10-18,CFFEX.IC1710
2017-10-19,CFFEX.IC1710
2017-10-20,CFFEX.IC1710
2017-10-23,CFFEX.IC1711
2017-10-24,CFFEX.IC1711
2017-10-25,CFFEX.IC1711
2017-10-26,CFFEX.IC1711
2017-10-27,CFFEX.IC1711
2017-10-30,CFFEX.IC1711
2017-10-31,CFFEX.IC1711
2017-11-01,CFFEX.IC1711
2017-11-02,CFFEX.IC1711
2017-11-03,CFFEX.IC1711
2017-11-06,CFFEX.IC1711
2017-11-07,CFFEX.IC1711
2017-11-08,CFFEX.IC1711
2017-11-09,CFFEX.IC1711
2017-11-10,CFFEX.IC1711
2017-11-13,CFFEX.IC1711
2017-11-14,CFFEX.IC1711
2017-11-15,CFFEX.IC1711
2017-11-16,CFFEX.IC1711
2017-11-17,CFFEX.IC1712
2017-11-20,CFFEX.IC1712
2017-11-21,CFFEX.IC1712
2017-11-22,CFFEX.IC1712
2017-11-23,CFFEX.IC1712
2017-11-24,CFFEX.IC1712
2017-11-27,CFFEX.IC1712
2017-11-28,CFFEX.IC1712
2017-11-29,CFFEX.IC1712
2017-11-30,CFFEX.IC1712
2017-12-01,CFFEX.IC1712
2017-12-04,CFFEX.IC1712
2017-12-05,CFFEX.IC1712
2017-12-06,CFFEX.IC1712
2017-12-07,CFFEX.IC1712
2017-12-08,CFFEX.IC1712
2017-12-11,CFFEX.IC1712
2017-12-12,CFFEX.IC1712
2017-12-13,CFFEX.IC1712
2017-12-14,CFFEX.IC1712
2017-12-15,CFFEX.IC1712
2017-12-18,CFFEX.IC1801
2017-12-19,CFFEX.IC1801
2017-12-20,CFFEX.IC1801
2017-12-21,CFFEX.IC1801
2017-12-22,CFFEX.IC1801
2017-12-25,CFFEX.IC1801
2017-12-26,CFFEX.IC1801
2017-12-27,CFFEX.IC1801
2017-12-28,CFFEX.IC1801
2017-12-29,CFFEX.IC1801
2018-01-02,CFFEX.IC1801
2018-01-03,CFFEX.IC1801
2018-01-04,CFFEX.IC1801
2018-01-05,CFFEX.IC1801
2018-01-08,CFFEX.IC1801
2018-01-09,CFFEX.IC1801
2018-01-10,CFFEX.IC1801
2018-01-11,CFFEX.IC1801
2018-01-12,CFFEX.IC1801
2018-01-15,CFFEX.IC1801
2018-01-16,CFFEX.IC1801
2018-01-17,CFFEX.IC1801
2018-01-18,CFFEX.IC1801
2018-01-19,CFFEX.IC1801
2018-01-22,CFFEX.IC1802
2018-01-23,CFFEX.IC1802
2018-01-24,CFFEX.IC1802
2018-01-25,CFFEX.IC1802
2018-01-26,CFFEX.IC1802
2018-01-29,CFFEX.IC1802
2018-01-30,CFFEX.IC1802
2018-01-31,CFFEX.IC1802
2018-02-01,CFFEX.IC1802
2018-02-02,CFFEX.IC1802
2018-02-05,CFFEX.IC1802
2018-02-06,CFFEX.IC1802
2018-02-07,CFFEX.IC1802
2018-02-08,CFFEX.IC1802
2018-02-09,CFFEX.IC1802
2018-02-12,CFFEX.IC1802
2018-02-13,CFFEX.IC1802
2018-02-14,CFFEX.IC1802
2018-02-22,CFFEX.IC1803
2018-02-23,CFFEX.IC1803
2018-02-26,CFFEX.IC1803
2018-02-27,CFFEX.IC1803
2018-02-28,CFFEX.IC1803
2018-03-01,CFFEX.IC1803
2018-03-02,CFFEX.IC1803
2018-03-05,CFFEX.IC1803
2018-03-06,CFFEX.IC1803
2018-03-07,CFFEX.IC1803
2018-03-08,CFFEX.IC1803
2018-03-09,CFFEX.IC1803
2018-03-12,CFFEX.IC1803
2018-03-13,CFFEX.IC1803
2018-03-14,CFFEX.IC1803
2018-03-15,CFFEX.IC1803
2018-03-16,CFFEX.IC1803
2018-03-19,CFFEX.IC1804
2018-03-20,CFFEX.IC1804
2018-03-21,CFFEX.IC1804
2018-03-22,CFFEX.IC1804
2018-03-23,CFFEX.IC1804
2018-03-26,CFFEX.IC1804
