datetime,KQ.m@CFFEX.IC,expire_rest_days
2016-06-20 00:00:00+08:00,CFFEX.IC1607,28
2016-06-21 00:00:00+08:00,CFFEX.IC1607,25
2016-06-22 00:00:00+08:00,CFFEX.IC1607,24
2016-06-23 00:00:00+08:00,CFFEX.IC1607,23
2016-06-24 00:00:00+08:00,CFFEX.IC1607,22
2016-06-27 00:00:00+08:00,CFFEX.IC1607,21
2016-06-28 00:00:00+08:00,CFFEX.IC1607,18
2016-06-29 00:00:00+08:00,CFFEX.IC1607,17
2016-06-30 00:00:00+08:00,CFFEX.IC1607,16
2016-07-01 00:00:00+08:00,CFFEX.IC1607,15
2016-07-04 00:00:00+08:00,CFFEX.IC1607,14
2016-07-05 00:00:00+08:00,CFFEX.IC1607,11
2016-07-06 00:00:00+08:00,CFFEX.IC1607,10
2016-07-07 00:00:00+08:00,CFFEX.IC1607,9
2016-07-08 00:00:00+08:00,CFFEX.IC1607,8
2016-07-11 00:00:00+08:00,CFFEX.IC1607,7
2016-07-12 00:00:00+08:00,CFFEX.IC1607,4
2016-07-13 00:00:00+08:00,CFFEX.IC1607,3
2016-07-14 00:00:00+08:00,CFFEX.IC1607,2
2016-07-15 00:00:00+08:00,CFFEX.IC1607,1
2016-07-18 00:00:00+08:00,CFFEX.IC1608,35
2016-07-19 00:00:00+08:00,CFFEX.IC1608,32
2016-07-20 00:00:00+08:00,CFFEX.IC1608,31
2016-07-21 00:00:00+08:00,CFFEX.IC1608,30
2016-07-22 00:00:00+08:00,CFFEX.IC1608,29
2016-07-25 00:00:00+08:00,CFFEX.IC1608,28
2016-07-26 00:00:00+08:00,CFFEX.IC1608,25
2016-07-27 00:00:00+08:00,CFFEX.IC1608,24
2016-07-28 00:00:00+08:00,CFFEX.IC1608,23
2016-07-29 00:00:00+08:00,CFFEX.IC1608,22
2016-08-01 00:00:00+08:00,CFFEX.IC1608,21
2016-08-02 00:00:00+08:00,CFFEX.IC1608,18
2016-08-03 00:00:00+08:00,CFFEX.IC1608,17
2016-08-04 00:00:00+08:00,CFFEX.IC1608,16
2016-08-05 00:00:00+08:00,CFFEX.IC1608,15
2016-08-08 00:00:00+08:00,CFFEX.IC1608,14
2016-08-09 00:00:00+08:00,CFFEX.IC1608,11
2016-08-10 00:00:00+08:00,CFFEX.IC1608,10
2016-08-11 00:00:00+08:00,CFFEX.IC1608,9
2016-08-12 00:00:00+08:00,CFFEX.IC1608,8
2016-08-15 00:00:00+08:00,CFFEX.IC1608,7
2016-08-16 00:00:00+08:00,CFFEX.IC1608,4
2016-08-17 00:00:00+08:00,CFFEX.IC1608,3
2016-08-18 00:00:00+08:00,CFFEX.IC1608,2
2016-08-19 00:00:00+08:00,CFFEX.IC1609,32
2016-08-22 00:00:00+08:00,CFFEX.IC1609,31
2016-08-23 00:00:00+08:00,CFFEX.IC1609,28
2016-08-24 00:00:00+08:00,CFFEX.IC1609,27
2016-08-25 00:00:00+08:00,CFFEX.IC1609,26
2016-08-26 00:00:00+08:00,CFFEX.IC1609,25
2016-08-29 00:00:00+08:00,CFFEX.IC1609,24
2016-08-30 00:00:00+08:00,CFFEX.IC1609,21
2016-08-31 00:00:00+08:00,CFFEX.IC1609,20
2016-09-01 00:00:00+08:00,CFFEX.IC1609,19
2016-09-02 00:00:00+08:00,CFFEX.IC1609,18
2016-09-05 00:00:00+08:00,CFFEX.IC1609,17
2016-09-06 00:00:00+08:00,CFFEX.IC1609,14
2016-09-07 00:00:00+08:00,CFFEX.IC1609,13
2016-09-08 00:00:00+08:00,CFFEX.IC1609,12
2016-09-09 00:00:00+08:00,CFFEX.IC1609,11
2016-09-12 00:00:00+08:00,CFFEX.IC1609,10
2016-09-13 00:00:00+08:00,CFFEX.IC1609,7
2016-09-14 00:00:00+08:00,CFFEX.IC1609,6
2016-09-19 00:00:00+08:00,CFFEX.IC1610,35
2016-09-20 00:00:00+08:00,CFFEX.IC1610,32
2016-09-21 00:00:00+08:00,CFFEX.IC1610,31
2016-09-22 00:00:00+08:00,CFFEX.IC1610,30
2016-09-23 00:00:00+08:00,CFFEX.IC1610,29
2016-09-26 00:00:00+08:00,CFFEX.IC1610,28
2016-09-27 00:00:00+08:00,CFFEX.IC1610,25
2016-09-28 00:00:00+08:00,CFFEX.IC1610,24
2016-09-29 00:00:00+08:00,CFFEX.IC1610,23
2016-09-30 00:00:00+08:00,CFFEX.IC1610,22
2016-10-10 00:00:00+08:00,CFFEX.IC1610,14
2016-10-11 00:00:00+08:00,CFFEX.IC1610,11
2016-10-12 00:00:00+08:00,CFFEX.IC1610,10
2016-10-13 00:00:00+08:00,CFFEX.IC1610,9
2016-10-14 00:00:00+08:00,CFFEX.IC1610,8
2016-10-17 00:00:00+08:00,CFFEX.IC1610,7
2016-10-18 00:00:00+08:00,CFFEX.IC1610,4
2016-10-19 00:00:00+08:00,CFFEX.IC1610,3
2016-10-20 00:00:00+08:00,CFFEX.IC1610,2
2016-10-21 00:00:00+08:00,CFFEX.IC1611,29
2016-10-24 00:00:00+08:00,CFFEX.IC1611,28
2016-10-25 00:00:00+08:00,CFFEX.IC1611,25
2016-10-26 00:00:00+08:00,CFFEX.IC1611,24
2016-10-27 00:00:00+08:00,CFFEX.IC1611,23
2016-10-28 00:00:00+08:00,CFFEX.IC1611,22
2016-10-31 00:00:00+08:00,CFFEX.IC1611,21
2016-11-01 00:00:00+08:00,CFFEX.IC1611,18
2016-11-02 00:00:00+08:00,CFFEX.IC1611,17
2016-11-03 00:00:00+08:00,CFFEX.IC1611,16
2016-11-04 00:00:00+08:00,CFFEX.IC1611,15
2016-11-07 00:00:00+08:00,CFFEX.IC1611,14
2016-11-08 00:00:00+08:00,CFFEX.IC1611,11
2016-11-09 00:00:00+08:00,CFFEX.IC1611,10
2016-11-10 00:00:00+08:00,CFFEX.IC1611,9
2016-11-11 00:00:00+08:00,CFFEX.IC1611,8
2016-11-14 00:00:00+08:00,CFFEX.IC1611,7
2016-11-15 00:00:00+08:00,CFFEX.IC1611,4
2016-11-16 00:00:00+08:00,CFFEX.IC1611,3
2016-11-17 00:00:00+08:00,CFFEX.IC1611,2
2016-11-18 00:00:00+08:00,CFFEX.IC1612,29
2016-11-21 00:00:00+08:00,CFFEX.IC1612,28
2016-11-22 00:00:00+08:00,CFFEX.IC1612,25
2016-11-23 00:00:00+08:00,CFFEX.IC1612,24
2016-11-24 00:00:00+08:00,CFFEX.IC1612,23
2016-11-25 00:00:00+08:00,CFFEX.IC1612,22
2016-11-28 00:00:00+08:00,CFFEX.IC1612,21
2016-11-29 00:00:00+08:00,CFFEX.IC1612,18
2016-11-30 00:00:00+08:00,CFFEX.IC1612,17
2016-12-01 00:00:00+08:00,CFFEX.IC1612,16
2016-12-02 00:00:00+08:00,CFFEX.IC1612,15
2016-12-05 00:00:00+08:00,CFFEX.IC1612,14
2016-12-06 00:00:00+08:00,CFFEX.IC1612,11
2016-12-07 00:00:00+08:00,CFFEX.IC1612,10
2016-12-08 00:00:00+08:00,CFFEX.IC1612,9
2016-12-09 00:00:00+08:00,CFFEX.IC1612,8
2016-12-12 00:00:00+08:00,CFFEX.IC1612,7
2016-12-13 00:00:00+08:00,CFFEX.IC1612,4
2016-12-14 00:00:00+08:00,CFFEX.IC1612,3
2016-12-15 00:00:00+08:00,CFFEX.IC1612,2
2016-12-16 00:00:00+08:00,CFFEX.IC1701,36
2016-12-19 00:00:00+08:00,CFFEX.IC1701,35
2016-12-20 00:00:00+08:00,CFFEX.IC1701,32
2016-12-21 00:00:00+08:00,CFFEX.IC1701,31
2016-12-22 00:00:00+08:00,CFFEX.IC1701,30
2016-12-23 00:00:00+08:00,CFFEX.IC1701,29
2016-12-26 00:00:00+08:00,CFFEX.IC1701,28
2016-12-27 00:00:00+08:00,CFFEX.IC1701,25
2016-12-28 00:00:00+08:00,CFFEX.IC1701,24
2016-12-29 00:00:00+08:00,CFFEX.IC1701,23
2016-12-30 00:00:00+08:00,CFFEX.IC1701,22
2017-01-03 00:00:00+08:00,CFFEX.IC1701,18
2017-01-04 00:00:00+08:00,CFFEX.IC1701,17
2017-01-05 00:00:00+08:00,CFFEX.IC1701,16
2017-01-06 00:00:00+08:00,CFFEX.IC1701,15
2017-01-09 00:00:00+08:00,CFFEX.IC1701,14
2017-01-10 00:00:00+08:00,CFFEX.IC1701,11
2017-01-11 00:00:00+08:00,CFFEX.IC1701,10
2017-01-12 00:00:00+08:00,CFFEX.IC1701,9
2017-01-13 00:00:00+08:00,CFFEX.IC1701,8
2017-01-16 00:00:00+08:00,CFFEX.IC1701,7
2017-01-17 00:00:00+08:00,CFFEX.IC1701,4
2017-01-18 00:00:00+08:00,CFFEX.IC1701,3
2017-01-19 00:00:00+08:00,CFFEX.IC1701,2
2017-01-20 00:00:00+08:00,CFFEX.IC1702,29
2017-01-23 00:00:00+08:00,CFFEX.IC1702,28
2017-01-24 00:00:00+08:00,CFFEX.IC1702,25
2017-01-25 00:00:00+08:00,CFFEX.IC1702,24
2017-01-26 00:00:00+08:00,CFFEX.IC1702,23
2017-02-03 00:00:00+08:00,CFFEX.IC1702,15
2017-02-06 00:00:00+08:00,CFFEX.IC1702,14
2017-02-07 00:00:00+08:00,CFFEX.IC1702,11
2017-02-08 00:00:00+08:00,CFFEX.IC1702,10
2017-02-09 00:00:00+08:00,CFFEX.IC1702,9
2017-02-10 00:00:00+08:00,CFFEX.IC1702,8
2017-02-13 00:00:00+08:00,CFFEX.IC1702,7
2017-02-14 00:00:00+08:00,CFFEX.IC1702,4
2017-02-15 00:00:00+08:00,CFFEX.IC1702,3
2017-02-16 00:00:00+08:00,CFFEX.IC1702,2
2017-02-17 00:00:00+08:00,CFFEX.IC1703,29
2017-02-20 00:00:00+08:00,CFFEX.IC1703,28
2017-02-21 00:00:00+08:00,CFFEX.IC1703,25
2017-02-22 00:00:00+08:00,CFFEX.IC1703,24
2017-02-23 00:00:00+08:00,CFFEX.IC1703,23
2017-02-24 00:00:00+08:00,CFFEX.IC1703,22
2017-02-27 00:00:00+08:00,CFFEX.IC1703,21
2017-02-28 00:00:00+08:00,CFFEX.IC1703,18
2017-03-01 00:00:00+08:00,CFFEX.IC1703,17
2017-03-02 00:00:00+08:00,CFFEX.IC1703,16
2017-03-03 00:00:00+08:00,CFFEX.IC1703,15
2017-03-06 00:00:00+08:00,CFFEX.IC1703,14
2017-03-07 00:00:00+08:00,CFFEX.IC1703,11
2017-03-08 00:00:00+08:00,CFFEX.IC1703,10
2017-03-09 00:00:00+08:00,CFFEX.IC1703,9
2017-03-10 00:00:00+08:00,CFFEX.IC1703,8
2017-03-13 00:00:00+08:00,CFFEX.IC1703,7
2017-03-14 00:00:00+08:00,CFFEX.IC1703,4
2017-03-15 00:00:00+08:00,CFFEX.IC1703,3
2017-03-16 00:00:00+08:00,CFFEX.IC1703,2
2017-03-17 00:00:00+08:00,CFFEX.IC1704,36
2017-03-20 00:00:00+08:00,CFFEX.IC1704,35
2017-03-21 00:00:00+08:00,CFFEX.IC1704,32
2017-03-22 00:00:00+08:00,CFFEX.IC1704,31
2017-03-23 00:00:00+08:00,CFFEX.IC1704,30
2017-03-24 00:00:00+08:00,CFFEX.IC1704,29
2017-03-27 00:00:00+08:00,CFFEX.IC1704,28
2017-03-28 00:00:00+08:00,CFFEX.IC1704,25
2017-03-29 00:00:00+08:00,CFFEX.IC1704,24
2017-03-30 00:00:00+08:00,CFFEX.IC1704,23
2017-03-31 00:00:00+08:00,CFFEX.IC1704,22
2017-04-05 00:00:00+08:00,CFFEX.IC1704,17
2017-04-06 00:00:00+08:00,CFFEX.IC1704,16
2017-04-07 00:00:00+08:00,CFFEX.IC1704,15
2017-04-10 00:00:00+08:00,CFFEX.IC1704,14
2017-04-11 00:00:00+08:00,CFFEX.IC1704,11
2017-04-12 00:00:00+08:00,CFFEX.IC1704,10
2017-04-13 00:00:00+08:00,CFFEX.IC1704,9
2017-04-14 00:00:00+08:00,CFFEX.IC1704,8
2017-04-17 00:00:00+08:00,CFFEX.IC1704,7
2017-04-18 00:00:00+08:00,CFFEX.IC1704,4
2017-04-19 00:00:00+08:00,CFFEX.IC1704,3
2017-04-20 00:00:00+08:00,CFFEX.IC1704,2
2017-04-21 00:00:00+08:00,CFFEX.IC1705,29
2017-04-24 00:00:00+08:00,CFFEX.IC1705,28
2017-04-25 00:00:00+08:00,CFFEX.IC1705,25
2017-04-26 00:00:00+08:00,CFFEX.IC1705,24
2017-04-27 00:00:00+08:00,CFFEX.IC1705,23
2017-04-28 00:00:00+08:00,CFFEX.IC1705,22
2017-05-02 00:00:00+08:00,CFFEX.IC1705,18
2017-05-03 00:00:00+08:00,CFFEX.IC1705,17
2017-05-04 00:00:00+08:00,CFFEX.IC1705,16
2017-05-05 00:00:00+08:00,CFFEX.IC1705,15
2017-05-08 00:00:00+08:00,CFFEX.IC1705,14
2017-05-09 00:00:00+08:00,CFFEX.IC1705,11
2017-05-10 00:00:00+08:00,CFFEX.IC1705,10
2017-05-11 00:00:00+08:00,CFFEX.IC1705,9
2017-05-12 00:00:00+08:00,CFFEX.IC1705,8
2017-05-15 00:00:00+08:00,CFFEX.IC1705,7
2017-05-16 00:00:00+08:00,CFFEX.IC1705,4
2017-05-17 00:00:00+08:00,CFFEX.IC1705,3
2017-05-18 00:00:00+08:00,CFFEX.IC1705,2
2017-05-19 00:00:00+08:00,CFFEX.IC1706,29
2017-05-22 00:00:00+08:00,CFFEX.IC1706,28
2017-05-23 00:00:00+08:00,CFFEX.IC1706,25
2017-05-24 00:00:00+08:00,CFFEX.IC1706,24
2017-05-25 00:00:00+08:00,CFFEX.IC1706,23
2017-05-26 00:00:00+08:00,CFFEX.IC1706,22
2017-05-31 00:00:00+08:00,CFFEX.IC1706,17
2017-06-01 00:00:00+08:00,CFFEX.IC1706,16
2017-06-02 00:00:00+08:00,CFFEX.IC1706,15
2017-06-05 00:00:00+08:00,CFFEX.IC1706,14
2017-06-06 00:00:00+08:00,CFFEX.IC1706,11
2017-06-07 00:00:00+08:00,CFFEX.IC1706,10
2017-06-08 00:00:00+08:00,CFFEX.IC1706,9
2017-06-09 00:00:00+08:00,CFFEX.IC1706,8
2017-06-12 00:00:00+08:00,CFFEX.IC1706,7
2017-06-13 00:00:00+08:00,CFFEX.IC1706,4
2017-06-14 00:00:00+08:00,CFFEX.IC1706,3
2017-06-15 00:00:00+08:00,CFFEX.IC1706,2
2017-06-16 00:00:00+08:00,CFFEX.IC1707,36
2017-06-19 00:00:00+08:00,CFFEX.IC1707,35
2017-06-20 00:00:00+08:00,CFFEX.IC1707,32
2017-06-21 00:00:00+08:00,CFFEX.IC1707,31
2017-06-22 00:00:00+08:00,CFFEX.IC1707,30
2017-06-23 00:00:00+08:00,CFFEX.IC1707,29
2017-06-26 00:00:00+08:00,CFFEX.IC1707,28
2017-06-27 00:00:00+08:00,CFFEX.IC1707,25
2017-06-28 00:00:00+08:00,CFFEX.IC1707,24
2017-06-29 00:00:00+08:00,CFFEX.IC1707,23
2017-06-30 00:00:00+08:00,CFFEX.IC1707,22
2017-07-03 00:00:00+08:00,CFFEX.IC1707,21
2017-07-04 00:00:00+08:00,CFFEX.IC1707,18
2017-07-05 00:00:00+08:00,CFFEX.IC1707,17
2017-07-06 00:00:00+08:00,CFFEX.IC1707,16
2017-07-07 00:00:00+08:00,CFFEX.IC1707,15
2017-07-10 00:00:00+08:00,CFFEX.IC1707,14
2017-07-11 00:00:00+08:00,CFFEX.IC1707,11
2017-07-12 00:00:00+08:00,CFFEX.IC1707,10
2017-07-13 00:00:00+08:00,CFFEX.IC1707,9
2017-07-14 00:00:00+08:00,CFFEX.IC1707,8
2017-07-17 00:00:00+08:00,CFFEX.IC1707,7
2017-07-18 00:00:00+08:00,CFFEX.IC1707,4
2017-07-19 00:00:00+08:00,CFFEX.IC1707,3
2017-07-20 00:00:00+08:00,CFFEX.IC1707,2
2017-07-21 00:00:00+08:00,CFFEX.IC1708,29
2017-07-24 00:00:00+08:00,CFFEX.IC1708,28
2017-07-25 00:00:00+08:00,CFFEX.IC1708,25
2017-07-26 00:00:00+08:00,CFFEX.IC1708,24
2017-07-27 00:00:00+08:00,CFFEX.IC1708,23
2017-07-28 00:00:00+08:00,CFFEX.IC1708,22
2017-07-31 00:00:00+08:00,CFFEX.IC1708,21
2017-08-01 00:00:00+08:00,CFFEX.IC1708,18
2017-08-02 00:00:00+08:00,CFFEX.IC1708,17
2017-08-03 00:00:00+08:00,CFFEX.IC1708,16
2017-08-04 00:00:00+08:00,CFFEX.IC1708,15
2017-08-07 00:00:00+08:00,CFFEX.IC1708,14
2017-08-08 00:00:00+08:00,CFFEX.IC1708,11
2017-08-09 00:00:00+08:00,CFFEX.IC1708,10
2017-08-10 00:00:00+08:00,CFFEX.IC1708,9
2017-08-11 00:00:00+08:00,CFFEX.IC1708,8
2017-08-14 00:00:00+08:00,CFFEX.IC1708,7
2017-08-15 00:00:00+08:00,CFFEX.IC1708,4
2017-08-16 00:00:00+08:00,CFFEX.IC1708,3
2017-08-17 00:00:00+08:00,CFFEX.IC1708,2
2017-08-18 00:00:00+08:00,CFFEX.IC1709,29
2017-08-21 00:00:00+08:00,CFFEX.IC1709,28
2017-08-22 00:00:00+08:00,CFFEX.IC1709,25
2017-08-23 00:00:00+08:00,CFFEX.IC1709,24
2017-08-24 00:00:00+08:00,CFFEX.IC1709,23
2017-08-25 00:00:00+08:00,CFFEX.IC1709,22
2017-08-28 00:00:00+08:00,CFFEX.IC1709,21
2017-08-29 00:00:00+08:00,CFFEX.IC1709,18
2017-08-30 00:00:00+08:00,CFFEX.IC1709,17
2017-08-31 00:00:00+08:00,CFFEX.IC1709,16
2017-09-01 00:00:00+08:00,CFFEX.IC1709,15
2017-09-04 00:00:00+08:00,CFFEX.IC1709,14
2017-09-05 00:00:00+08:00,CFFEX.IC1709,11
2017-09-06 00:00:00+08:00,CFFEX.IC1709,10
2017-09-07 00:00:00+08:00,CFFEX.IC1709,9
2017-09-08 00:00:00+08:00,CFFEX.IC1709,8
2017-09-11 00:00:00+08:00,CFFEX.IC1709,7
2017-09-12 00:00:00+08:00,CFFEX.IC1709,4
2017-09-13 00:00:00+08:00,CFFEX.IC1709,3
2017-09-14 00:00:00+08:00,CFFEX.IC1709,2
2017-09-15 00:00:00+08:00,CFFEX.IC1709,1
2017-09-18 00:00:00+08:00,CFFEX.IC1710,35
2017-09-19 00:00:00+08:00,CFFEX.IC1710,32
2017-09-20 00:00:00+08:00,CFFEX.IC1710,31
2017-09-21 00:00:00+08:00,CFFEX.IC1710,30
2017-09-22 00:00:00+08:00,CFFEX.IC1710,29
2017-09-25 00:00:00+08:00,CFFEX.IC1710,28
2017-09-26 00:00:00+08:00,CFFEX.IC1710,25
2017-09-27 00:00:00+08:00,CFFEX.IC1710,24
2017-09-28 00:00:00+08:00,CFFEX.IC1710,23
2017-09-29 00:00:00+08:00,CFFEX.IC1710,22
2017-10-09 00:00:00+08:00,CFFEX.IC1710,14
2017-10-10 00:00:00+08:00,CFFEX.IC1710,11
2017-10-11 00:00:00+08:00,CFFEX.IC1710,10
2017-10-12 00:00:00+08:00,CFFEX.IC1710,9
2017-10-13 00:00:00+08:00,CFFEX.IC1710,8
2017-10-16 00:00:00+08:00,CFFEX.IC1710,7
2017-10-17 00:00:00+08:00,CFFEX.IC1710,4
2017-10-18 00:00:00+08:00,CFFEX.IC1710,3
2017-10-19 00:00:00+08:00,CFFEX.IC1710,2
2017-10-20 00:00:00+08:00,CFFEX.IC1710,1
2017-10-23 00:00:00+08:00,CFFEX.IC1711,28
2017-10-24 00:00:00+08:00,CFFEX.IC1711,25
2017-10-25 00:00:00+08:00,CFFEX.IC1711,24
2017-10-26 00:00:00+08:00,CFFEX.IC1711,23
2017-10-27 00:00:00+08:00,CFFEX.IC1711,22
2017-10-30 00:00:00+08:00,CFFEX.IC1711,21
2017-10-31 00:00:00+08:00,CFFEX.IC1711,18
2017-11-01 00:00:00+08:00,CFFEX.IC1711,17
2017-11-02 00:00:00+08:00,CFFEX.IC1711,16
2017-11-03 00:00:00+08:00,CFFEX.IC1711,15
2017-11-06 00:00:00+08:00,CFFEX.IC1711,14
2017-11-07 00:00:00+08:00,CFFEX.IC1711,11
2017-11-08 00:00:00+08:00,CFFEX.IC1711,10
2017-11-09 00:00:00+08:00,CFFEX.IC1711,9
2017-11-10 00:00:00+08:00,CFFEX.IC1711,8
2017-11-13 00:00:00+08:00,CFFEX.IC1711,7
2017-11-14 00:00:00+08:00,CFFEX.IC1711,4
2017-11-15 00:00:00+08:00,CFFEX.IC1711,3
2017-11-16 00:00:00+08:00,CFFEX.IC1711,2
2017-11-17 00:00:00+08:00,CFFEX.IC1712,29
2017-11-20 00:00:00+08:00,CFFEX.IC1712,28
2017-11-21 00:00:00+08:00,CFFEX.IC1712,25
2017-11-22 00:00:00+08:00,CFFEX.IC1712,24
2017-11-23 00:00:00+08:00,CFFEX.IC1712,23
2017-11-24 00:00:00+08:00,CFFEX.IC1712,22
2017-11-27 00:00:00+08:00,CFFEX.IC1712,21
2017-11-28 00:00:00+08:00,CFFEX.IC1712,18
2017-11-29 00:00:00+08:00,CFFEX.IC1712,17
